x	y	x_new	y_new	pixel_x	pixel_y
26	11	25.9544	10.8673	10994	3725
26	12	25.9919	11.8781	11006	4091
27	10	26.8948	9.8194	11337	3344
27	11	26.913	10.7917	11343	3697
27	8	26.8869	7.8125	11334	2614
27	9	26.8857	8.8429	11333	2989
28	6	27.7826	5.7664	11660	1871
28	7	27.784	6.796	11660	2245
28	8	27.8948	7.8572	11699	2630
29	5	28.9661	4.8706	12079	1541
29	6	28.9661	5.87	12087	1907
29	7	28.8564	6.8392	12051	2261
30	5	29.821	4.8085	12402	1523
3	23	2.9915	22.8777	2656	8087
3	24	3.0606	23.9803	2662	8490
3	25	2.9915	24.9004	2637	8822
3	26	2.9915	25.8932	2637	9184
3	27	2.9915	26.9011	2637	9549
3	28	2.9915	27.91	2637	9914
3	29	3.1148	29.0308	2682	10325
3	30	3.1355	30.033	2690	10689
3	31	2.9915	30.9257	2637	11010
3	32	2.9915	31.9243	2686	11410
3	33	2.9915	32.9365	2686	11771
3	34	2.9915	33.9022	2637	12095
4	21	3.9756	20.8996	2995	7425
4	22	4.0147	22.0688	3010	7795
4	23	3.9756	22.8777	3008	8144
4	24	4.0115	24.012	3009	8501
4	25	4.0276	25.0812	3014	8890
4	26	4.0607	26.0833	3026	9254
4	27	4.0318	27.0793	3016	9616
4	28	3.9756	27.91	2995	9914
4	29	4.074	29.0257	3031	10323
4	30	4.0749	30.125	3032	10723
4	31	4.0641	31.1102	3028	11081
4	32	4.0587	32.042	3026	11419
4	33	4.1299	33.0181	3052	11774
4	34	4.0929	34.041	3038	12146
5	20	4.9414	19.9003	3345	7006
5	21	4.9414	20.8996	3345	7368
5	22	4.9988	21.9299	3368	7745
5	23	4.9414	22.8777	3345	8087
5	24	5.0261	23.9699	3378	8486
5	25	4.9414	24.9004	3345	8822
5	26	4.9414	25.8932	3375	9206
5	27	5.0211	26.9938	3376	9585
5	28	5.0321	28.0279	3380	9961
5	29	5.0282	29.0227	3379	10322
5	30	4.9414	29.9361	3345	10652
5	31	5.0637	31.0419	3391	11056
5	32	4.9414	31.9243	3345	11376
5	33	4.9414	32.9365	3383	11771
6	16	5.9077	15.8697	3695	5541
6	19	5.9077	18.8677	3676	6660
6	20	5.9302	19.9343	3707	7020
6	21	5.8935	20.9173	3693	7377
6	22	5.9077	21.8879	3695	7726
6	23	5.9435	22.9289	3712	8108
6	24	5.9876	23.9475	3728	8478
6	25	5.9077	24.9004	3688	8848
6	26	5.9077	25.8932	3695	9184
6	27	5.9077	26.9011	3723	9588
6	28	6.0065	27.9509	3735	9933
6	29	5.9077	28.9037	3691	10300
6	30	5.9942	30.0587	3730	10699
6	31	5.9077	30.9257	3699	11025
6	32	5.9077	31.9243	3708	11385
7	15	6.9462	14.9206	4077	5198
7	16	6.9204	15.9826	4067	5583
7	17	6.9544	17.0182	4080	5960
7	18	6.8355	18.0389	4036	6331
7	19	6.991	18.9391	4093	6658
7	20	6.9656	19.9276	4084	7017
7	21	6.9739	20.981	4087	7400
7	22	7.019	21.9595	4103	7755
7	23	6.9734	22.9949	4086	8132
7	24	7.0087	23.9784	4099	8489
7	25	6.9399	24.9004	4072	8822
7	26	7.0057	25.9405	4098	9202
7	27	7.0424	26.9947	4112	9585
7	28	7.0208	27.978	4104	9943
7	29	7.0356	28.9631	4109	10301
7	30	7.0515	29.9995	4115	10677
7	31	7.0473	31.0205	4113	11048
7	32	6.9399	31.9243	4078	11396
8	14	7.9401	13.9172	4437	4829
8	15	7.9145	14.8731	4429	5180
8	16	7.9401	15.8697	4420	5560
8	17	7.9401	16.8877	4458	5952
8	18	7.9401	17.8733	4435	6289
8	19	7.9401	18.8677	4437	6630
8	20	7.8678	19.9886	4412	7039
8	21	8.0424	20.9356	4476	7383
8	22	7.9401	21.8879	4437	7726
8	23	7.9765	22.9771	4452	8125
8	24	7.9401	23.89	4422	8494
8	25	8.0145	24.9756	4465	8852
8	26	7.9401	25.8932	4437	9184
8	27	7.9779	26.993	4452	9585
8	28	7.9401	27.91	4437	9914
8	29	7.9401	28.9037	4439	10302
8	30	8.0441	29.9676	4476	10666
8	31	8.0071	30.9828	4463	11035
9	14	8.9689	13.9172	4810	4829
9	15	8.9594	14.8601	4809	5176
9	16	8.9689	15.8697	4789	5521
9	17	9.0152	16.9034	4830	5918
9	18	8.9689	17.8733	4810	6268
9	19	8.9513	18.946	4806	6660
9	20	8.9689	19.9003	4810	7006
9	21	8.9547	20.9411	4808	7385
9	22	8.9602	21.918	4810	7740
9	23	8.9689	22.8777	4810	8087
9	24	9.0299	23.8953	4835	8459
9	25	8.9689	24.9004	4810	8822
9	26	8.9689	25.8932	4810	9184
9	27	8.9689	26.9011	4810	9549
9	28	9.0223	27.8748	4832	9905
9	29	8.9689	28.9037	4810	10276
9	30	9.0526	30.0008	4843	10678
